B.J. Lowery,Broncos,2016,3,"$1,620,000","$540,000"
Arjen Colquhoun,Cowboys,2016,3,"$1,620,000","$540,000"
Tre Roberson,Vikings,2016,3,"$1,620,000","$540,000"
Joel Wilkinson,Cardinals,2016,3,"$1,620,000","$540,000"
Jordan Sefon,Falcons,2016,3,"$1,620,000","$540,000"
Michael Jordan,Rams,2016,3,"$1,620,000","$540,000"
Jimmy Pruitt,Saints,2016,3,"$1,620,000","$540,000"
Mariel Cooper,Commanders,2016,3,"$1,620,000","$540,000"
Sam Brown,Ravens,2016,3,"$1,620,000","$540,000"
Tevin McDonald,Raiders,2016,1,"$525,000","$525,000"
Stanley Jean-Baptiste,Seahawks,2016,1,"$525,000","$525,000"
Justin Coleman,Patriots,2016,1,"$525,000","$525,000"
Eric Patterson,Browns,2016,1,"$525,000","$525,000"
Cariel Brooks,Cardinals,2016,1,"$525,000","$525,000"
Carrington Byndom,Ravens,2016,1,"$525,000","$525,000"
Brandon Dixon,Saints,2016,1,"$525,000","$525,000"
Shaquille Richardson,Panthers,2016,1,"$525,000","$525,000"
Mohammed Seisay,Seahawks,2016,1,"$525,000","$525,000"
Al Louis-Jean,Dolphins,2016,1,"$525,000","$525,000"
Chris Milton,Colts,2016,2,"$990,000","$495,000"
Javien Elliott,Buccaneers,2016,2,"$990,000","$495,000"
Louis Young,Panthers,2016,2,"$990,000","$495,000"
Trovon Reed,Chargers,2016,2,"$990,000","$495,000"
Ryan White,Falcons,2016,2,"$990,000","$495,000"
C.J. Goodwin,Falcons,2016,2,"$990,000","$495,000"
Kendall James,Jets,2016,2,"$990,000","$495,000"
C.J. Smith,Eagles,2016,2,"$990,000","$495,000"
Winston Rose,Colts,2016,2,"$990,000","$495,000"
C.J. Goodwin,Cardinals,2016,2,"$990,000","$495,000"
Al-Hajj Shabazz,Steelers,2016,2,"$990,000","$495,000"
Josh Johnson,Jaguars,2016,2,"$990,000","$495,000"
Taurean Nixon,Broncos,2016,2,"$990,000","$495,000"
Steven Clarke,Titans,2016,2,"$990,000","$495,000"
Anthony Jackson,Cowboys,2016,2,"$990,000","$495,000"
Frankie Williams,Colts,2016,2,"$990,000","$495,000"
C.J. Roberts,Buccaneers,2016,2,"$990,000","$495,000"
Adairius Barnes,Lions,2016,2,"$990,000","$495,000"
JaCorey Shepherd,49ers,2016,2,"$990,000","$495,000"
Dax Swanson,Cowboys,2016,2,"$990,000","$495,000"
Bryson Keeton,Jets,2016,3,"$1,470,000","$490,000"
Taveze Calhoun,Saints,2016,3,"$1,470,000","$490,000"
Travell Dixon,Panthers,2016,2,"$915,000","$457,500"
Alex Carter,Lions,2016,2,"$915,000","$457,500"
Harlan Miller,Cardinals,2016,2,"$915,000","$457,500"
Prince Charles Iworah,49ers,2016,2,"$915,000","$457,500"
Trey Caldwell,Browns,2016,2,"$915,000","$457,500"
Trevon Hartfield,Cardinals,2016,2,"$915,000","$457,500"
De'Vante Bausby,Bears,2016,1,"$450,000","$450,000"
Keith Lewis,Lions,2016,1,"$450,000","$450,000"
Montell Garner,Steelers,2016,1,"$450,000","$450,000"
Kevin White,Steelers,2016,1,"$450,000","$450,000"
Julian Whigham,Steelers,2016,1,"$450,000","$450,000"
Joel Ross,Bears,2016,1,"$450,000","$450,000"
Corey Tindal,Bengals,2016,1,"$450,000","$450,000"
Bennett Jackson,Giants,2016,1,"$450,000","$450,000"
Bene Benwikere,Dolphins,2016,1,"$340,000","$340,000"
Dexter McDougle,Jets,2016,1,"$153,000","$153,000"
Brandon Dixon,Steelers,2016,1,"$117,300","$117,300"
Doran Grant,Giants,2016,1,"$117,300","$117,300"
Sam Brown,Ravens,2016,1,"$117,300","$117,300"
Asa Jackson,Ravens,2016,1,"$117,300","$117,300"
Jeremiah McKinnon,Titans,2016,1,"$117,300","$117,300"
Asa Jackson,Ravens,2016,1,"$117,300","$117,300"
Denzel Rice,Texans,2016,1,"$117,300","$117,300"
Tre Roberson,Vikings,2016,1,"$117,300","$117,300"
D'Joun Smith,Titans,2016,1,"$117,300","$117,300"
Pierre Desir,Seahawks,2016,1,"$117,300","$117,300"
Terrance Mitchell,Chiefs,2016,1,"$117,300","$117,300"
D'Joun Smith,Lions,2016,1,"$117,300","$117,300"
Leon McFadden,Cowboys,2016,1,"$117,300","$117,300"
Alex Carter,Lions,2016,1,"$117,300","$117,300"
Doran Grant,Jaguars,2016,1,"$117,300","$117,300"
Tye Smith,SEA/WAS,2016,1,"$117,300","$117,300"
Tevin Mitchel,Colts,2016,1,"$117,300","$117,300"
Doran Grant,Bills,2016,1,"$117,300","$117,300"
Charles Gaines,Bills,2016,1,"$117,300","$117,300"
JaCorey Shepherd,Eagles,2016,1,"$117,300","$117,300"
Xavier Rhodes,Vikings,2017,5,"$70,100,000","$14,020,000"
Desmond Trufant,Falcons,2017,5,"$68,750,000","$13,750,000"
A.J. Bouye,DEN/JAX,2017,5,"$67,500,000","$13,500,000"
