player,team,archetype,archetype_stable,latest_season,latest_grade,latest_cov_grade,qb_rating_against,yards_per_cov_snap,playmaking_rate,outside_rate,slot_rate,old_apy,est_cap_units_median,est_apy_low,est_apy_mid,est_apy_high,comparable_n,used_grade_band,mkt_cap_units_median,mkt_apy_low,mkt_apy_mid,mkt_apy_high,mkt_comparable_n,used_grade_band_mkt,market_premium_pct
Shaquill Griffin,Seahawks,Average outside CB,False,2024,63.7,61.6,76.2,1.0,0.0727272727272727,0.8693467336683417,0.0552763819095477,396000.0,0.9989915349887132,1385316.0270880363,3008962.503386004,9342881.509032944,129,True,3.3621517771373677,7251404.297314983,10126801.152737752,16459325.521335099,55,True,2.3631602421486546
Christian Benford,Bills,Average outside CB,False,2025,66.8,53.9,101.5,0.7,0.0714285714285714,0.92548596112311,0.0043196544276457,963570.0,0.9606147934678196,1385316.0270880363,2893371.7579250727,8844949.09945184,117,True,3.3621517771373677,7426849.315068493,10126801.152737752,15712064.503558718,49,True,2.401536983669548
Jaylon Jones,ARI/CHI,Average outside CB,True,2024,67.4,67.9,85.8,1.2,0.1411764705882353,0.8883071553228621,0.0113438045375218,1200000.0,0.9593539865513928,1378564.2698507786,2889574.207492795,8603585.070448555,115,True,3.3621517771373677,7048876.306150843,10126801.152737752,15057945.110440359,47,True,2.402797790585975
Eric Garror,Titans,Average outside CB,True,2023,59.7,58.1,89.0,0.6,0.0357142857142857,0.5571428571428572,0.3828571428571428,898333.0,0.9189240407204385,1362887.3036949977,2767799.210649961,8132052.11556455,124,True,3.3281127642913075,7251404.297314983,10024275.646045418,15458051.38036597,47,True,2.409188723570869
Noah Igbinoghene,Commanders,Average outside CB,False,2025,55.6,54.4,96.6,1.4,0.1290322580645161,0.1742627345844504,0.6353887399463807,1500000.0,0.8579537725823592,1353962.0947764737,2584156.763018066,7512617.392145751,95,True,3.3281127642913075,7426849.315068493,10024275.646045418,15920908.379013311,33,True,2.4701589917089484
Derion Kendrick,Rams,Average outside CB,False,2023,59.7,60.4,104.9,1.2,0.1159420289855072,0.9253731343283582,0.0091848450057405,1030000.0,0.9189240407204385,1362887.3036949977,2767799.210649961,8132052.11556455,124,True,3.3281127642913075,7251404.297314983,10024275.646045418,15458051.38036597,47,True,2.409188723570869
Akayleb Evans,CAR/MIN,Average outside CB,True,2023,54.9,52.6,104.4,1.2,0.0579710144927536,0.7964912280701755,0.0444444444444444,1105269.0,0.8426547277936963,1330193.391850496,2538076.0401146132,7512617.392145751,91,True,3.3281127642913075,7512617.392145751,10024275.646045418,17648047.312715825,31,True,2.485458036497611
Ja'Quan McMillian,Broncos,Slot specialist,True,2025,80.8,78.9,77.3,0.9,0.074074074074074,0.0217917675544794,0.9031476997578692,1030000.0,1.3565072719866964,1628755.3213016137,4085799.9032239295,9704691.606475508,28,True,3.3252681352216937,8011380.525752492,10015707.623287741,12179792.96812338,14,True,1.9687608632349973
Ja'Sir Taylor,Chargers,Average outside CB,False,2024,56.7,57.7,146.8,1.2,0.1034482758620689,0.0254957507082152,0.8810198300283286,948003.0,0.9484863511225146,1381940.1484694076,2856840.889581014,7922137.525611336,108,True,3.30789199858401,6315893.496829795,9963370.699735036,15868697.410149662,42,True,2.3594056474614953
Jalyn Armour-Davis,TEN/BAL,Average outside CB,True,2025,54.2,49.6,134.6,1.2,0.032258064516129,0.90748031496063,0.0059055118110236,1105081.0,0.821917808219178,1322127.9848754448,2475616.438356164,6491061.545142317,83,True,3.30789199858401,6958955.430105404,9963370.699735036,16784477.845864568,28,True,2.485974190364832
Essang Bassey,Commanders,Slot specialist,True,2023,52.2,58.7,116.7,1.0,0.04,0.0056657223796034,0.8045325779036827,1170000.0,0.5372492836676217,1231578.9678935,1618194.8424068766,3465863.0136986296,61,True,3.224755495210657,6739277.170265683,9712963.5515745,12076987.812528914,14,True,2.6875062115430355
Lamar Jackson,Falcons,Replacement-level CB,True,2020,50.4,45.8,140.0,1.6,0.0512820512820512,0.8807947019867549,0.0331125827814569,1030000.0,0.6407536511726086,1340574.4750889677,1929949.997331897,5236510.8956973795,106,True,3.1880977683315623,5685679.080182857,9602550.478214666,16321853.832892502,31,True,2.5473441171589535
Jeff Okudah,Vikings,Replacement-level CB,True,2023,50.5,46.0,92.9,1.4,0.0576923076923076,0.8523489932885906,0.0302013422818791,2350000.0,0.6407536511726086,1335695.0484875443,1929949.997331897,5338348.1952698445,104,True,3.1880977683315623,5685679.080182857,9602550.478214666,16321853.832892502,31,True,2.5473441171589535
Eli Apple,49ers,Replacement-level CB,False,2023,51.7,43.4,105.0,1.8,0.0921052631578947,0.9230769230769232,0.0176282051282051,396000.0,0.6392837407013815,1331699.4423977295,1925522.6269925612,5154151.962938654,107,True,3.1880977683315623,6085784.235772381,9602550.478214666,16321853.832892502,31,True,2.548814027630181
Adoree' Jackson,Eagles,Replacement-level CB,False,2025,53.6,52.8,90.7,1.4,0.0958904109589041,0.9392,0.008,1755000.0,0.6896790830945558,1353924.4885187729,2077313.3982808022,5376949.607467205,119,True,3.145967620057429,5692234.091050056,9475654.471612977,15885205.479452057,36,True,2.456288536962873
Darnay Holmes,Raiders,Slot specialist,True,2022,44.3,49.5,93.5,1.4,0.0789473684210526,0.0941915227629513,0.814756671899529,1195000.0,0.5107847080261112,1245791.2823117531,1538483.540574647,2560215.9875565334,26,True,3.118750195771339,7075959.279561472,9393675.589663273,12088097.10258418,53,False,2.607965487745228
Darrell Baker Jr.,Titans,Replacement-level CB,False,2025,54.8,53.9,135.8,1.5,0.0862068965517241,0.8091286307053942,0.0082987551867219,1100000.0,0.6987342465753424,1353924.4885187729,2104587.550684931,5518258.58271843,123,True,3.1038374717832955,5685679.080182857,9348758.465011286,16091506.84931507,39,True,2.405103225207953
Tre Hawkins III,Commanders,Replacement-level CB,True,2023,52.6,47.2,157.2,1.7,0.0769230769230769,0.8236994219653179,0.0809248554913294,234000.0,0.6949150684931507,1340574.4750889677,2093084.18630137,5530833.2913329415,114,True,3.1038374717832955,6085784.235772381,9348758.465011286,15208669.136645054,35,True,2.408922403290145
